id,centroid_x,centroid_y,area,time
21,207,559,7590,2025-12-03_17:28:55
22,453,553,10512,2025-12-03_17:28:55
23,441,555,7232,2025-12-03_17:28:55
21,192,560,7254,2025-12-03_17:28:55
23,437,532,17040,2025-12-03_17:28:55
22,436,550,11840,2025-12-03_17:28:55
23,409,536,12441,2025-12-03_17:28:55
24,92,330,10956,2025-12-03_17:28:56
25,85,298,23667,2025-12-03_17:28:56
26,90,319,16819,2025-12-03_17:28:56
24,134,352,8176,2025-12-03_17:28:56
24,130,358,16125,2025-12-03_17:28:56
27,128,379,9796,2025-12-03_17:28:56
26,80,362,8550,2025-12-03_17:28:57
25,76,334,16851,2025-12-03_17:28:57
28,572,371,556470,2025-12-03_17:28:57
29,547,135,44958,2025-12-03_17:28:58
30,747,459,53760,2025-12-03_17:29:02
30,771,443,55970,2025-12-03_17:29:03
30,832,423,53599,2025-12-03_17:29:04
30,848,431,49790,2025-12-03_17:29:04
31,672,344,814464,2025-12-03_17:29:05
31,679,331,801220,2025-12-03_17:29:07
31,676,350,785512,2025-12-03_17:29:07
31,677,317,664814,2025-12-03_17:29:07
32,888,599,54180,2025-12-03_17:29:07
31,674,347,766232,2025-12-03_17:29:08
31,671,342,770882,2025-12-03_17:29:08
31,674,348,766232,2025-12-03_17:29:08
33,904,377,74240,2025-12-03_17:29:08
34,422,215,58947,2025-12-03_17:29:09
35,312,215,9028,2025-12-03_17:29:09
36,535,194,17500,2025-12-03_17:29:09
35,321,252,10336,2025-12-03_17:29:09
34,385,247,7062,2025-12-03_17:29:09
37,608,252,6666,2025-12-03_17:29:09
34,388,179,7952,2025-12-03_17:29:09
37,611,183,7560,2025-12-03_17:29:09
34,389,184,7480,2025-12-03_17:29:09
37,612,193,7776,2025-12-03_17:29:09
34,417,245,8614,2025-12-03_17:29:10
38,541,313,9375,2025-12-03_17:29:10
38,557,329,9672,2025-12-03_17:29:10
39,556,332,13905,2025-12-03_17:29:10
38,592,340,8700,2025-12-03_17:29:10
40,674,259,484560,2025-12-03_17:29:10
40,674,237,463368,2025-12-03_17:29:11
38,620,380,10287,2025-12-03_17:29:11
38,641,404,7684,2025-12-03_17:29:11
38,690,450,10591,2025-12-03_17:29:12
41,690,455,7260,2025-12-03_17:29:12
42,684,557,9675,2025-12-03_17:29:12
42,689,516,8850,2025-12-03_17:29:12
42,652,489,10087,2025-12-03_17:29:12
42,680,503,8050,2025-12-03_17:29:13
42,697,511,6890,2025-12-03_17:29:13
42,703,527,8906,2025-12-03_17:29:13
42,765,530,8004,2025-12-03_17:29:14
42,783,513,10668,2025-12-03_17:29:14
43,900,591,8330,2025-12-03_17:29:14
43,887,632,8925,2025-12-03_17:29:14
43,872,640,6380,2025-12-03_17:29:15
43,851,613,10560,2025-12-03_17:29:15
44,768,603,7980,2025-12-03_17:29:15
44,729,574,6656,2025-12-03_17:29:15
44,688,550,8640,2025-12-03_17:29:15
45,481,174,330252,2025-12-03_17:29:15
46,733,364,7840,2025-12-03_17:29:16
46,758,381,7770,2025-12-03_17:29:16
47,817,261,8700,2025-12-03_17:29:16
48,1037,267,7140,2025-12-03_17:29:16
49,1036,255,10573,2025-12-03_17:29:16
47,802,259,7704,2025-12-03_17:29:16
48,1023,265,6798,2025-12-03_17:29:16
47,767,248,7176,2025-12-03_17:29:17
48,991,253,7980,2025-12-03_17:29:17
47,801,252,7102,2025-12-03_17:29:17
49,1021,261,6360,2025-12-03_17:29:17
50,886,280,52007,2025-12-03_17:29:18
50,917,305,47916,2025-12-03_17:29:18
51,678,339,830484,2025-12-03_17:29:36
52,1105,554,21543,2025-12-03_17:30:05
52,1152,549,19642,2025-12-03_17:30:05
52,1101,527,21672,2025-12-03_17:30:05
53,790,583,13659,2025-12-03_17:30:05
52,1125,559,21801,2025-12-03_17:30:06
53,806,621,18921,2025-12-03_17:30:06
52,1138,552,21717,2025-12-03_17:30:06
53,822,604,12320,2025-12-03_17:30:06
52,1137,546,18860,2025-12-03_17:30:06
53,823,598,12560,2025-12-03_17:30:06
52,1114,549,18960,2025-12-03_17:30:07
53,797,599,11613,2025-12-03_17:30:07
54,797,609,16912,2025-12-03_17:30:07
52,1091,549,17515,2025-12-03_17:30:07
53,779,595,12393,2025-12-03_17:30:07
